D_pass,D_rush,D_pts,O_pass,O_rush,O_pts,BD_pass,BD_rush,BD_pts,BO_pass,BO_rush,BO_pts,outcome
145.9,116.6,17.6,215.7,203.8,35.2,198.0,133.5,17.3,257.5,182.6,31.4,0
145.9,116.6,17.6,215.7,203.8,35.2,237.8,195.8,31.3,247.2,209.0,30.0,1
145.9,116.6,17.6,215.7,203.8,35.2,258.1,132.6,23.5,239.4,114.9,24.2,1
145.9,116.6,17.6,215.7,203.8,35.2,206.5,183.9,28.7,141.3,230.2,28.5,1
145.9,116.6,17.6,215.7,203.8,35.2,200.8,157.9,24.3,157.7,273.4,29.7,1
145.9,116.6,17.6,215.7,203.8,35.2,230.2,81.3,18.0,217.2,124.8,18.7,1
145.9,116.6,17.6,215.7,203.8,35.2,186.5,168.4,20.0,218.1,204.9,33.8,1
145.9,116.6,17.6,215.7,203.8,35.2,186.7,214.8,31.4,132.2,134.1,13.5,1
145.9,116.6,17.6,215.7,203.8,35.2,240.6,183.2,29.9,257.8,157.3,26.4,1
145.9,116.6,17.6,215.7,203.8,35.2,239.8,160.5,25.7,364.3,171.3,42.4,0
183.8,92.9,13.7,279.0,248.2,44.3,262.7,92.0,26.3,252.6,219.0,36.0,1
183.8,92.9,13.7,279.0,248.2,44.3,217.9,149.8,28.9,83.8,325.0,33.6,1
183.8,92.9,13.7,279.0,248.2,44.3,263.0,163.8,27.8,264.7,199.2,40.2,1
183.8,92.9,13.7,279.0,248.2,44.3,274.0,191.3,33.3,236.1,213.7,32.8,1
183.8,92.9,13.7,279.0,248.2,44.3,271.2,109.1,22.7,313.2,142.9,33.8,1
183.8,92.9,13.7,279.0,248.2,44.3,268.7,147.7,31.5,270.1,91.1,21.9,1
183.8,92.9,13.7,279.0,248.2,44.3,206.3,277.3,44.1,211.1,141.5,19.8,1
183.8,92.9,13.7,279.0,248.2,44.3,247.9,148.3,25.7,215.3,189.1,32.0,1
183.8,92.9,13.7,279.0,248.2,44.3,197.1,222.3,27.4,246.1,159.6,29.5,1
183.8,92.9,13.7,279.0,248.2,44.3,230.8,194.5,27.2,272.8,152.8,30.1,1
186.8,102.8,17.4,226.6,148.4,31.2,228.8,122.3,22.5,240.9,130.1,26.8,1
186.8,102.8,17.4,226.6,148.4,31.2,200.8,157.9,24.3,157.7,273.4,29.7,0
186.8,102.8,17.4,226.6,148.4,31.2,223.7,170.7,27.9,208.8,170.8,28.9,1
186.8,102.8,17.4,226.6,148.4,31.2,240.6,183.2,29.9,257.8,157.3,26.4,1
186.8,102.8,17.4,226.6,148.4,31.2,206.5,183.9,28.7,141.3,230.2,28.5,1
186.8,102.8,17.4,226.6,148.4,31.2,186.5,168.4,20.0,218.1,204.9,33.8,0
186.8,102.8,17.4,226.6,148.4,31.2,258.1,132.6,23.5,239.4,114.9,24.2,0
186.8,102.8,17.4,226.6,148.4,31.2,237.8,195.8,31.3,247.2,209.0,30.0,1
178.4,117.0,14.8,323.6,198.4,45.6,261.7,221.8,36.2,346.4,164.1,33.9,1
178.4,117.0,14.8,323.6,198.4,45.6,262.7,92.0,26.3,252.6,219.0,36.0,1
178.4,117.0,14.8,323.6,198.4,45.6,245.3,167.8,34.8,192.3,143.4,21.7,1
178.4,117.0,14.8,323.6,198.4,45.6,256.1,122.9,24.4,279.4,202.4,36.6,1
178.4,117.0,14.8,323.6,198.4,45.6,222.9,154.5,27.9,196.4,129.1,22.8,1
178.4,117.0,14.8,323.6,198.4,45.6,206.8,139.3,20.9,228.5,173.6,32.4,1
178.4,117.0,14.8,323.6,198.4,45.6,222.4,140.7,19.6,222.5,167.5,30.9,1
185.4,116.4,15.5,238.4,176.3,26.4,213.3,101.8,18.5,215.8,180.0,28.1,1
185.4,116.4,15.5,238.4,176.3,26.4,238.7,163.1,25.1,232.7,184.0,29.9,1
185.4,116.4,15.5,238.4,176.3,26.4,195.6,129.4,21.7,211.8,153.2,27.2,1
185.4,116.4,15.5,238.4,176.3,26.4,245.5,199.4,34.1,237.8,154.8,24.6,1
185.4,116.4,15.5,238.4,176.3,26.4,247.4,143.1,27.0,247.8,179.4,34.8,0
185.4,116.4,15.5,238.4,176.3,26.4,234.7,145.6,27.3,249.6,143.0,27.1,1
185.4,116.4,15.5,238.4,176.3,26.4,274.7,140.9,23.8,273.1,107.9,28.4,1
185.4,116.4,15.5,238.4,176.3,26.4,254.9,281.8,45.7,249.2,155.6,26.3,1
185.4,116.4,15.5,238.4,176.3,26.4,208.8,136.6,23.1,373.8,77.7,37.5,1
180.5,130.6,18.5,226.1,238.8,37.9,230.8,194.5,27.2,272.8,152.8,30.1,1
180.5,130.6,18.5,226.1,238.8,37.9,256.1,122.9,24.4,279.4,202.4,36.6,1
180.5,130.6,18.5,226.1,238.8,37.9,222.9,154.5,27.9,196.4,129.1,22.8,1
180.5,130.6,18.5,226.1,238.8,37.9,232.6,187.3,25.1,243.7,167.5,28.5,1
180.5,130.6,18.5,226.1,238.8,37.9,206.8,139.3,20.9,228.5,173.6,32.4,0
180.5,130.6,18.5,226.1,238.8,37.9,181.3,144.9,16.3,161.5,199.4,26.6,1
180.5,130.6,18.5,226.1,238.8,37.9,222.4,140.7,19.6,222.5,167.5,30.9,1
180.5,130.6,18.5,226.1,238.8,37.9,217.9,149.8,28.9,83.8,325.0,33.6,1
213.3,101.8,18.5,215.8,180.0,28.1,185.4,116.4,15.5,238.4,176.3,26.4,0
213.3,101.8,18.5,215.8,180.0,28.1,208.8,136.6,23.1,373.8,77.7,37.5,0
213.3,101.8,18.5,215.8,180.0,28.1,274.7,140.9,23.8,273.1,107.9,28.4,1
213.3,101.8,18.5,215.8,180.0,28.1,269.5,162.5,32.6,255.3,202.4,31.3,1
213.3,101.8,18.5,215.8,180.0,28.1,223.3,164.4,27.0,249.1,133.5,26.1,1
213.3,101.8,18.5,215.8,180.0,28.1,245.5,199.4,34.1,237.8,154.8,24.6,1
213.3,101.8,18.5,215.8,180.0,28.1,238.7,163.1,25.1,232.7,184.0,29.9,0
213.3,101.8,18.5,215.8,180.0,28.1,247.4,143.1,27.0,247.8,179.4,34.8,1
213.3,101.8,18.5,215.8,180.0,28.1,234.7,145.6,27.3,249.6,143.0,27.1,1
213.3,101.8,18.5,215.8,180.0,28.1,195.6,129.4,21.7,211.8,153.2,27.2,1
181.3,144.9,16.3,161.5,199.4,26.6,173.1,166.0,20.4,213.5,213.2,35.0,1
181.3,144.9,16.3,161.5,199.4,26.6,230.8,194.5,27.2,272.8,152.8,30.1,1
