A_SP_rating,A_SP_offense,A_SP_defense,A_SP_special,A_ESPN_offense,A_ESPN_defense,A_ESPN_special,A_ESPN_rating,B_SP_rating,B_SP_offense,B_SP_defense,B_SP_special,B_ESPN_offense,B_ESPN_defense,B_ESPN_special,B_ESPN_rating,outcome
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,15.2,34.5,19.6,0.4,55.4,76.1,58.5,71.1,0
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,-18.8,16.8,33.5,-2.1,12.7,32.9,30.2,14.0,1
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,0
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,-2.7,29.2,31.2,-0.7,52.2,33.6,45.3,40.9,0
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,9.4,30.5,19.3,-1.8,59.6,71.7,35.8,66.9,1
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,0
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,0
-1.6,20.1,20.8,-0.8,21.9,73.9,54.9,47.1,-0.6,21.5,22.9,0.9,32.4,71.0,56.8,53.9,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,15.3,32.1,18.4,1.7,63.2,73.3,62.4,74.6,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,1.1,25.7,25.1,0.4,38.9,64.3,61.4,54.1,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,7.8,35.0,28.5,1.3,71.3,43.9,65.6,62.0,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,9.4,30.5,19.3,-1.8,59.6,71.7,35.8,66.9,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,-2.7,29.2,31.2,-0.7,52.2,33.6,45.3,40.9,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,13.1,43.0,29.4,-0.4,82.7,46.0,56.2,69.7,0
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,-0.6,21.5,22.9,0.9,32.4,71.0,56.8,53.9,1
28.7,43.5,14.1,-0.7,81.8,82.9,47.0,87.1,-4.0,22.7,27.5,0.8,33.4,57.1,48.4,44.2,1
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,0
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,15.9,38.5,24.6,2.0,74.2,52.0,67.8,69.7,0
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,-0.6,21.5,22.9,0.9,32.4,71.0,56.8,53.9,1
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,9.4,30.5,19.3,-1.8,59.6,71.7,35.8,66.9,1
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,-2.7,29.2,31.2,-0.7,52.2,33.6,45.3,40.9,1
24.0,42.6,18.8,0.2,80.8,75.6,32.4,80.6,15.4,26.6,14.0,2.8,39.1,87.2,64.7,72.4,1
22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,-20.9,17.6,36.9,-1.6,20.7,31.7,44.5,20.4,1
22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,-2.7,29.2,31.2,-0.7,52.2,33.6,45.3,40.9,1
22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,-12.7,24.6,35.8,-1.5,21.0,22.7,60.3,18.0,1
22.9,40.8,17.7,-0.2,80.3,74.6,35.4,80.1,-2.8,26.8,27.6,-2.0,49.2,52.7,33.8,47.7,1
