A_SP_rating,A_SP_offense,A_SP_defense,A_SP_special,A_ESPN_offense,A_ESPN_defense,A_ESPN_special,A_ESPN_rating,B_SP_rating,B_SP_offense,B_SP_defense,B_SP_special,B_ESPN_offense,B_ESPN_defense,B_ESPN_special,B_ESPN_rating,outcome
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,3.6,31.2,28.1,0.5,55.5,47.4,56.7,53.4,1
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,6.5,37.2,30.8,0.0,72.3,52.3,60.3,67.0,0
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,2.9,28.1,23.9,-1.3,52.6,62.4,63.1,62.2,1
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,9.4,35.1,26.7,1.1,75.0,57.0,44.6,69.9,0
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,-9.1,24.5,33.6,0.0,26.7,20.6,63.5,20.4,1
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,3.9,32.8,29.4,0.4,57.8,40.7,53.6,49.9,1
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,0
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,1.4,25.0,22.8,-0.8,29.5,63.2,44.7,45.2,0
2.4,26.5,22.1,-1.9,50.3,67.4,57.6,62.9,7.5,32.1,27.4,2.8,59.5,72.4,68.8,72.7,0
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,21.6,40.3,19.8,1.1,68.9,55.3,70.3,70.1,1
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,0.3,33.0,33.9,1.2,70.9,38.1,59.7,59.1,1
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,7.5,32.1,27.4,2.8,59.5,72.4,68.8,72.7,1
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,3.6,31.2,28.1,0.5,55.5,47.4,56.7,53.4,1
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,9.4,35.1,26.7,1.1,75.0,57.0,44.6,69.9,1
29.7,43.0,12.6,-0.6,81.6,92.3,33.7,90.8,1.4,25.0,22.8,-0.8,29.5,63.2,44.7,45.2,1
